Particle: X:[0.171003, -80.3588, 0] v: [-0.102173, -10.031, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[6.51175, -89.2559, 0] v: [-0.029421, -9.91056, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[1.26484, -92.153, 0] v: [0.00710205, -10.2, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[7.62687, -86.4328, 0] v: [-0.030158, -10.1892, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[0.547415, -82.2835, 0] v: [0.0475689, -9.7747, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[7.13165, -87.346, 0] v: [-0.0796304, -10.1683, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[1.29498, -85.2668, 0] v: [0.122251, -9.96059, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[8.28043, -83.1233, 0] v: [0.0351329, -9.97073, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[0.238324, -83.6903, 0] v: [0.0166907, -10.0274, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[6.7967, -87.6225, 0] v: [-0.113092, -10.0838, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[0.690993, -86.0112, 0] v: [0.0619124, -9.92283, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[7.29179, -82.8894, 0] v: [-0.0636322, -10.0595, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[1.91191, -82.5725, 0] v: [0.183882, -10.0278, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[8.57914, -88.7745, 0] v: [0.0649745, -10.0867, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[-0.570673, -90.4952, 0] v: [-0.0641282, -10.2586, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[7.09719, -80.4359, 0] v: [-0.083073, -9.92654, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[-0.26821, -80.0905, 0] v: [-0.033912, -9.89203, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[7.03451, -89.7009, 0] v: [-0.0893344, -10.0671, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[-0.779064, -88.4969, 0] v: [-0.0849464, -9.94686, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[8.50312, -80.3868, 0] v: [0.0573794, -10.0338, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
